"rules","support","confidence","coverage","lift","count"
"{suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {mayor_5_min}",0.142857142857143,1,0.142857142857143,3.88888888888889,5
"{vistas_cat=medias,mayor_5_min} => {impresiones=[4.18e+03,2.68e+05]}",0.142857142857143,1,0.142857142857143,2.91666666666667,5
"{mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {vistas_cat=medias}",0.142857142857143,0.625,0.228571428571429,1.98863636363636,5
"{vistas_cat=medias,impresiones=[4.18e+03,2.68e+05]} => {mayor_5_min}",0.142857142857143,0.833333333333333,0.171428571428571,3.24074074074074,5
"{vistas_cat=altas,impresiones=[235,570)} => {duracion_cat=corta}",0.142857142857143,1,0.142857142857143,1.34615384615385,5
"{duracion_cat=corta,vistas_cat=altas} => {impresiones=[235,570)}",0.142857142857143,0.625,0.228571428571429,1.82291666666667,5
"{vistas_cat=medias,suscriptores_cat=pocos} => {impresiones=[4.18e+03,2.68e+05]}",0.114285714285714,0.8,0.142857142857143,2.33333333333333,4
"{suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {vistas_cat=medias}",0.114285714285714,0.8,0.142857142857143,2.54545454545455,4
"{vistas_cat=medias,impresiones=[4.18e+03,2.68e+05]} => {suscriptores_cat=pocos}",0.114285714285714,0.666666666666667,0.171428571428571,2.33333333333333,4
"{duracion_cat=media,suscriptores_cat=pocos,mayor_5_min} => {vistas_cat=medias}",0.114285714285714,0.8,0.142857142857143,2.54545454545455,4
"{duracion_cat=media,vistas_cat=medias,mayor_5_min} => {suscriptores_cat=pocos}",0.114285714285714,0.8,0.142857142857143,2.8,4
"{duracion_cat=media,vistas_cat=medias,suscriptores_cat=pocos} => {mayor_5_min}",0.114285714285714,1,0.114285714285714,3.88888888888889,4
"{vistas_cat=medias,suscriptores_cat=pocos,mayor_5_min} => {duracion_cat=media}",0.114285714285714,1,0.114285714285714,3.88888888888889,4
"{duracion_cat=media,suscriptores_cat=pocos,mayor_5_min} => {impresiones=[4.18e+03,2.68e+05]}",0.142857142857143,1,0.142857142857143,2.91666666666667,5
"{duracion_cat=media,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {suscriptores_cat=pocos}",0.142857142857143,0.625,0.228571428571429,2.1875,5
"{duracion_cat=media,suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {mayor_5_min}",0.142857142857143,1,0.142857142857143,3.88888888888889,5
"{suscriptores_cat=pocos,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {duracion_cat=media}",0.142857142857143,1,0.142857142857143,3.88888888888889,5
"{duracion_cat=media,vistas_cat=medias,mayor_5_min} => {impresiones=[4.18e+03,2.68e+05]}",0.142857142857143,1,0.142857142857143,2.91666666666667,5
"{duracion_cat=media,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {vistas_cat=medias}",0.142857142857143,0.625,0.228571428571429,1.98863636363636,5
"{duracion_cat=media,vistas_cat=medias,impresiones=[4.18e+03,2.68e+05]} => {mayor_5_min}",0.142857142857143,1,0.142857142857143,3.88888888888889,5
"{vistas_cat=medias,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {duracion_cat=media}",0.142857142857143,1,0.142857142857143,3.88888888888889,5
