video_id,duracion_segundos,mayor_5_min,promedio_tiempo_reproducido,categoria,tags,fecha_publicacion,impresiones,tasa_de_clicks,vistas,suscriptores,Impresiones_promedio, promedio_vistas ,promedio_suscriptores,popularidad
nvWDAXOJRlE,200,FALSE,47,Trivia Facts Quiz,kidslearningvideos ;olympicgames ;funfacts ;quizgames ;olympicsquiz ;quizforkids,21-Jun-24,268415,1.89,6961,30,2577,267,1.23,TRUE
8EWRh-nRfxg,320,TRUE,132,Entertainment Quiz,,12-Sep-24,66361,3.95,3246,13,2577,267,1.23,TRUE
G6gSSwpW0XA,263,FALSE,44,Trivia Facts Quiz,WorldFlags ;QuizTime ;FlagQuiz  ;GeographyChallenge ;Trivia,27-Sep-24,32280,5.95,2252,12,2577,267,1.23,TRUE
KO-I3woc1zA,264,FALSE,105,Entertainment Quiz,HarryPotterQuiz ;Potterhead ;Hogwarts ,15-Aug-24,32272,3.74,1516,12,2577,267,1.23,TRUE
oTU_xrW4AXI,461,TRUE,144,Would You Rather,Entertainment ;WouldYouRather ;DecisionMaking ;Entertainment ;WouldYouRather ;DecisionMaking,6-Sep-24,16064,2.42,639,1,2577,267,1.23,FALSE
LeVzouFBmzU,52,FALSE,23,Would You Rather,olympics ;sports  ;trackandfield ;gymnastics;wouldyourather  ;Shorts ;FunChallengeyourather ;wouldyourather ;wouldyourathergame ;quiz ;trivia ;choose ;red ;blue ;challenge ;toughchoices ;choices ;funchallenge,3-Aug-24,550,3.27,597,1,2577,267,1.23,FALSE
9o2NvXVnNXk,40,FALSE,20,Would You Rather,shorts ;wouldyourather ;HardChoices ;PhysicalChallenges ;EngageAndDecide,12-Sep-24,289,5.19,560,3,2577,267,1.23,TRUE
Bt62oT9YD5o,323,TRUE,76,Holidays,halloween ;wouldyourather ;hardchoices ;quiz ;quiztime ;yesornoquiz,31-Oct-24,11458,4.38,559,5,2577,267,1.23,TRUE
HINQqOrQfyU,42,FALSE,20,Animals Quiz,,21-Sep-24,235,1.7,501,0,2577,267,1.23,FALSE
UrQgZlRx5XE,57,FALSE,17,Would You Rather,wouldyourather  ;Shorts ;FunChallengeyourather ;wouldyourather ;wouldyourathergame ;quiz ;trivia ;choose ;red ;blue ;challenge ;toughchoices ;choices ;funchallenge;olympicgames ;wouldyourather,4-Aug-24,611,4.26,472,0,2577,267,1.23,FALSE
